"web_x","web_y","popdens"
-9550823.1848889,3599539.20909658,12
-9530823.1848889,3599539.20909658,37
-9510823.1848889,3599539.20909658,18
-9490823.1848889,3599539.20909658,18
-9470823.1848889,3599539.20909658,19
-9450823.1848889,3599539.20909658,9
-9430823.1848889,3599539.20909658,7
-9410823.1848889,3599539.20909658,12
-9390823.1848889,3599539.20909658,12
-9370823.1848889,3599539.20909658,39
-9350823.1848889,3599539.20909658,169
-9330823.1848889,3599539.20909658,8
-9310823.1848889,3599539.20909658,8
-9290823.1848889,3599539.20909658,30
-9270823.1848889,3599539.20909658,174
-9250823.1848889,3599539.20909658,5
-9230823.1848889,3599539.20909658,1
-9210823.1848889,3599539.20909658,1
-9190823.1848889,3599539.20909658,1
-9170823.1848889,3599539.20909658,5
-9150823.1848889,3599539.20909658,6
-9130823.1848889,3599539.20909658,18
-9110823.1848889,3599539.20909658,18
-9090823.1848889,3599539.20909658,38
-9990823.1848889,3619539.20909658,7
-9970823.1848889,3619539.20909658,7
-9950823.1848889,3619539.20909658,5
-9930823.1848889,3619539.20909658,8
-9910823.1848889,3619539.20909658,8
-9890823.1848889,3619539.20909658,10
-9870823.1848889,3619539.20909658,10
-9850823.1848889,3619539.20909658,16
-9830823.1848889,3619539.20909658,53
-9810823.1848889,3619539.20909658,262
-9790823.1848889,3619539.20909658,19
-9770823.1848889,3619539.20909658,19
-9750823.1848889,3619539.20909658,5
-9730823.1848889,3619539.20909658,12
-9710823.1848889,3619539.20909658,13
-9690823.1848889,3619539.20909658,4
-9670823.1848889,3619539.20909658,4
-9650823.1848889,3619539.20909658,9
-9630823.1848889,3619539.20909658,20
-9610823.1848889,3619539.20909658,9
-9590823.1848889,3619539.20909658,9
-9570823.1848889,3619539.20909658,11
-9550823.1848889,3619539.20909658,12
-9530823.1848889,3619539.20909658,37
-9510823.1848889,3619539.20909658,18
-9490823.1848889,3619539.20909658,18
-9470823.1848889,3619539.20909658,19
-9450823.1848889,3619539.20909658,9
-9430823.1848889,3619539.20909658,7
-9410823.1848889,3619539.20909658,12
-9390823.1848889,3619539.20909658,12
-9370823.1848889,3619539.20909658,39
-9350823.1848889,3619539.20909658,169
-9330823.1848889,3619539.20909658,8
-9310823.1848889,3619539.20909658,8
-9290823.1848889,3619539.20909658,30
-9270823.1848889,3619539.20909658,174
-9250823.1848889,3619539.20909658,5
-9230823.1848889,3619539.20909658,1
-9210823.1848889,3619539.20909658,1
-9190823.1848889,3619539.20909658,1
-9170823.1848889,3619539.20909658,5
-9150823.1848889,3619539.20909658,6
-9130823.1848889,3619539.20909658,18
-9110823.1848889,3619539.20909658,18
-9090823.1848889,3619539.20909658,38
-9070823.1848889,3619539.20909658,54
-10190823.1848889,3639539.20909658,5
-10170823.1848889,3639539.20909658,5
-10150823.1848889,3639539.20909658,5
-10130823.1848889,3639539.20909658,6
-10110823.1848889,3639539.20909658,6
-10090823.1848889,3639539.20909658,6
-10070823.1848889,3639539.20909658,14
-10050823.1848889,3639539.20909658,14
-10030823.1848889,3639539.20909658,12
-10010823.1848889,3639539.20909658,12
-9990823.1848889,3639539.20909658,11
-9970823.1848889,3639539.20909658,11
-9950823.1848889,3639539.20909658,24
-9930823.1848889,3639539.20909658,8
-9910823.1848889,3639539.20909658,4
-9890823.1848889,3639539.20909658,8
-9870823.1848889,3639539.20909658,8
-9850823.1848889,3639539.20909658,8
-9830823.1848889,3639539.20909658,7
-9810823.1848889,3639539.20909658,19
-9790823.1848889,3639539.20909658,4
-9770823.1848889,3639539.20909658,4
-9750823.1848889,3639539.20909658,12
-9730823.1848889,3639539.20909658,82
-9710823.1848889,3639539.20909658,13
-9690823.1848889,3639539.20909658,6
-9670823.1848889,3639539.20909658,6
-9650823.1848889,3639539.20909658,6
-9630823.1848889,3639539.20909658,9
-9610823.1848889,3639539.20909658,9
-9590823.1848889,3639539.20909658,9
-9570823.1848889,3639539.20909658,12
-9550823.1848889,3639539.20909658,16
-9530823.1848889,3639539.20909658,18
-9510823.1848889,3639539.20909658,24
-9490823.1848889,3639539.20909658,24
-9470823.1848889,3639539.20909658,7
-9450823.1848889,3639539.20909658,29
-9430823.1848889,3639539.20909658,6
-9410823.1848889,3639539.20909658,7
-9390823.1848889,3639539.20909658,7
-9370823.1848889,3639539.20909658,7
-9350823.1848889,3639539.20909658,13
-9330823.1848889,3639539.20909658,9
-9310823.1848889,3639539.20909658,9
-9290823.1848889,3639539.20909658,8
-9270823.1848889,3639539.20909658,38
-9250823.1848889,3639539.20909658,17
-9230823.1848889,3639539.20909658,5
-9210823.1848889,3639539.20909658,5
-9190823.1848889,3639539.20909658,4
-9170823.1848889,3639539.20909658,7
-9150823.1848889,3639539.20909658,11
-9130823.1848889,3639539.20909658,4
-9110823.1848889,3639539.20909658,4
-9090823.1848889,3639539.20909658,4
-9070823.1848889,3639539.20909658,7
-10190823.1848889,3659539.20909658,7
-10170823.1848889,3659539.20909658,6
-10150823.1848889,3659539.20909658,6
-10130823.1848889,3659539.20909658,8
-10110823.1848889,3659539.20909658,8
-10090823.1848889,3659539.20909658,8
-10070823.1848889,3659539.20909658,20
-10050823.1848889,3659539.20909658,20
-10030823.1848889,3659539.20909658,12
-10010823.1848889,3659539.20909658,12
-9990823.1848889,3659539.20909658,13
-9970823.1848889,3659539.20909658,13
-9950823.1848889,3659539.20909658,42
-9930823.1848889,3659539.20909658,41
-9910823.1848889,3659539.20909658,11
-9890823.1848889,3659539.20909658,5
-9870823.1848889,3659539.20909658,5
-9850823.1848889,3659539.20909658,5
-9830823.1848889,3659539.20909658,3
-9810823.1848889,3659539.20909658,11
-9790823.1848889,3659539.20909658,5
-9770823.1848889,3659539.20909658,5
-9750823.1848889,3659539.20909658,4
-9730823.1848889,3659539.20909658,6
-9710823.1848889,3659539.20909658,7
-9690823.1848889,3659539.20909658,7
-9670823.1848889,3659539.20909658,7
-9650823.1848889,3659539.20909658,9
-9630823.1848889,3659539.20909658,60
-9610823.1848889,3659539.20909658,128
-9590823.1848889,3659539.20909658,128
-9570823.1848889,3659539.20909658,10
-9550823.1848889,3659539.20909658,47
-9530823.1848889,3659539.20909658,24
-9510823.1848889,3659539.20909658,79
-9490823.1848889,3659539.20909658,79
-9470823.1848889,3659539.20909658,10
-9450823.1848889,3659539.20909658,16
-9430823.1848889,3659539.20909658,4
-9410823.1848889,3659539.20909658,5
-9390823.1848889,3659539.20909658,5
-9370823.1848889,3659539.20909658,24
-9350823.1848889,3659539.20909658,16
-9330823.1848889,3659539.20909658,18
-9310823.1848889,3659539.20909658,18
-9290823.1848889,3659539.20909658,14
-9270823.1848889,3659539.20909658,16
-9250823.1848889,3659539.20909658,12
-9230823.1848889,3659539.20909658,9
-9210823.1848889,3659539.20909658,9
-9190823.1848889,3659539.20909658,13
-9170823.1848889,3659539.20909658,79
-9150823.1848889,3659539.20909658,27
-9130823.1848889,3659539.20909658,9
-9110823.1848889,3659539.20909658,9
-9090823.1848889,3659539.20909658,10
-9070823.1848889,3659539.20909658,33
-10190823.1848889,3679539.20909658,7
-10170823.1848889,3679539.20909658,6
-10150823.1848889,3679539.20909658,6
-10130823.1848889,3679539.20909658,8
-10110823.1848889,3679539.20909658,8
-10090823.1848889,3679539.20909658,8
-10070823.1848889,3679539.20909658,20
-10050823.1848889,3679539.20909658,20
-10030823.1848889,3679539.20909658,12
-10010823.1848889,3679539.20909658,12
-9990823.1848889,3679539.20909658,13
-9970823.1848889,3679539.20909658,13
-9950823.1848889,3679539.20909658,42
-9930823.1848889,3679539.20909658,41
-9910823.1848889,3679539.20909658,11
-9890823.1848889,3679539.20909658,5
-9870823.1848889,3679539.20909658,5
-9850823.1848889,3679539.20909658,5
-9830823.1848889,3679539.20909658,3
-9810823.1848889,3679539.20909658,11
-9790823.1848889,3679539.20909658,5
-9770823.1848889,3679539.20909658,5
-9750823.1848889,3679539.20909658,4
-9730823.1848889,3679539.20909658,6
-9710823.1848889,3679539.20909658,7
-9690823.1848889,3679539.20909658,7
-9670823.1848889,3679539.20909658,7
-9650823.1848889,3679539.20909658,9
-9630823.1848889,3679539.20909658,60
-9610823.1848889,3679539.20909658,128
-9590823.1848889,3679539.20909658,128
-9570823.1848889,3679539.20909658,10
-9550823.1848889,3679539.20909658,47
-9530823.1848889,3679539.20909658,24
-9510823.1848889,3679539.20909658,79
-9490823.1848889,3679539.20909658,79
-9470823.1848889,3679539.20909658,10
-9450823.1848889,3679539.20909658,16
-9430823.1848889,3679539.20909658,4
-9410823.1848889,3679539.20909658,5
-9390823.1848889,3679539.20909658,5
-9370823.1848889,3679539.20909658,24
-9350823.1848889,3679539.20909658,16
-9330823.1848889,3679539.20909658,18
-9310823.1848889,3679539.20909658,18
-9290823.1848889,3679539.20909658,14
-9270823.1848889,3679539.20909658,16
-9250823.1848889,3679539.20909658,12
-9230823.1848889,3679539.20909658,9
-9210823.1848889,3679539.20909658,9
-9190823.1848889,3679539.20909658,13
-9170823.1848889,3679539.20909658,79
-9150823.1848889,3679539.20909658,27
-9130823.1848889,3679539.20909658,9
-9110823.1848889,3679539.20909658,9
-9090823.1848889,3679539.20909658,10
-9070823.1848889,3679539.20909658,33
-10170823.1848889,3699539.20909658,10
-10150823.1848889,3699539.20909658,10
-10130823.1848889,3699539.20909658,4
-10110823.1848889,3699539.20909658,7
-10090823.1848889,3699539.20909658,15
-10070823.1848889,3699539.20909658,11
-10050823.1848889,3699539.20909658,11
-10030823.1848889,3699539.20909658,9
-10010823.1848889,3699539.20909658,12
