"web_x","web_y","elevation"
1246596.01707128,383498.219593429,658.063774436551
1247596.01707128,383498.219593429,664.182273231558
1248596.01707128,383498.219593429,668.426234860541
1249596.01707128,383498.219593429,662.447270908655
1250596.01707128,383498.219593429,656.168450845691
1251596.01707128,383498.219593429,651.862145971251
1252596.01707128,383498.219593429,652.415183425888
1253596.01707128,383498.219593429,649.705395694167
1254596.01707128,383498.219593429,649.533621523125
1255596.01707128,383498.219593429,648.888176547885
1243596.01707128,384498.219593429,696.543584475225
1244596.01707128,384498.219593429,690.309380256926
1245596.01707128,384498.219593429,655.15387026738
1246596.01707128,384498.219593429,660.698284877129
1247596.01707128,384498.219593429,656.407102785628
1248596.01707128,384498.219593429,656.42125967945
1249596.01707128,384498.219593429,654.560747377427
1250596.01707128,384498.219593429,657.807400384433
1251596.01707128,384498.219593429,654.57646267586
1252596.01707128,384498.219593429,660.139959835763
1253596.01707128,384498.219593429,667.527792835791
1254596.01707128,384498.219593429,658.052491930945
1255596.01707128,384498.219593429,655.825305534035
1256596.01707128,384498.219593429,664.584831174252
1257596.01707128,384498.219593429,666.699223037317
1258596.01707128,384498.219593429,668.878123942824
1259596.01707128,384498.219593429,672.148422157894
1260596.01707128,384498.219593429,684.388437805669
1261596.01707128,384498.219593429,686.694625909844
1262596.01707128,384498.219593429,695.802277107932
1263596.01707128,384498.219593429,676.350104698829
1264596.01707128,384498.219593429,671.962156989584
1265596.01707128,384498.219593429,672.277953181432
1266596.01707128,384498.219593429,675.343866336348
1267596.01707128,384498.219593429,681.765430375581
1268596.01707128,384498.219593429,681.799024263474
1269596.01707128,384498.219593429,678.390378883162
1270596.01707128,384498.219593429,679.114607344734
1271596.01707128,384498.219593429,674.306000257752
1242596.01707128,385498.219593429,685.274847566987
1243596.01707128,385498.219593429,673.883742518633
1244596.01707128,385498.219593429,679.75854265578
1245596.01707128,385498.219593429,660.978012190693
1246596.01707128,385498.219593429,676.359442512275
1247596.01707128,385498.219593429,666.057256164379
1248596.01707128,385498.219593429,659.576352276265
1249596.01707128,385498.219593429,660.63271592987
1250596.01707128,385498.219593429,655.256322804958
1251596.01707128,385498.219593429,667.07742791822
1252596.01707128,385498.219593429,671.53522127311
1253596.01707128,385498.219593429,680.832100087866
1254596.01707128,385498.219593429,669.70458907845
1255596.01707128,385498.219593429,664.954055070554
1256596.01707128,385498.219593429,662.46017055185
1257596.01707128,385498.219593429,664.049512172887
1258596.01707128,385498.219593429,669.802868082938
1259596.01707128,385498.219593429,676.179189255759
1260596.01707128,385498.219593429,681.576369180337
1261596.01707128,385498.219593429,680.118794834352
1262596.01707128,385498.219593429,688.633567842351
1263596.01707128,385498.219593429,679.214107104948
1264596.01707128,385498.219593429,680.405723525651
1265596.01707128,385498.219593429,679.053980257982
