"utm_x","utm_y"
-29.4336535914093,1251.59283938909
-25.6099393563305,1250.4582445684
-24.5287071930466,1250.1873676548
-23.7120600300099,1249.98245138857
-23.0191549362388,1249.82129108687
-22.1004811666528,1249.60718883577
-21.4630663516931,1249.42864846332
-21.1122986867242,1249.33039756769
-19.4799212123434,1248.87927105658
-17.8359452339083,1248.42462033238
-15.808087501141,1247.87099778172
-16.2017719963653,1245.78036041525
-16.3309736222907,1245.18373070507
-16.4000255621216,1244.86505150706
-16.400006706157,1244.86495283609
-16.4000321972738,1244.86483512495
-16.295391683972,1244.31751934518
-16.2358435363229,1244.00591756255
-15.9208012246301,1243.61774043975
-14.2351010033716,1243.55629029783
-13.0867159340848,1242.78514398059
-12.9727354498966,1242.77585559479
-12.8012962884216,1242.76155982212
-12.6419974639325,1242.57113048535
-12.4340535244067,1242.32211861743
-10.43631423018,1242.15919581026
-9.32467384039606,1242.48309492626
-8.15927041842253,1242.59885122284
-6.65464154068998,1243.25047372379
-5.44864386713405,1243.77233998059
-3.8957368093334,1244.04800281384
-2.76447970814472,1244.10616702949
-2.08612831683825,1244.14072038139
-0.243894982254994,1244.03047630167
-0.00000933067306987567,1243.96826807715
0.814298867196421,1243.76054754791
1.04340392287731,1243.64133020724
1.09872339456801,1243.61243927865
1.9773681129253,1242.56531431029
2.46106170477153,1241.54794926658
2.53284452364114,1241.39695272306
2.57178228680358,1240.58895431005
2.6295890772001,1239.38919776733
2.71954462708016,1238.94907156107
2.87416123441726,1238.19206670257
2.93191768559985,1236.18157963711
2.94819769108551,1235.61489879829
2.98384308597821,1234.37417349485
3.02844671365212,1232.82124546808
3.1884843413318,1231.96436430792
3.38322512470627,1230.92139567918
3.45941251184158,1230.69851763581
3.56972865285619,1230.37534563703
3.46196807646033,1230.01649438444
3.31854539028206,1229.53943008268
2.96555121489649,1229.21965792266
2.69107133236925,1229.19980458022
2.41686402295954,1229.1800786251
2.33679898080915,1229.13910413463
2.00375074801108,1228.96909796717
0.766564733643087,1227.75740804738
0.742937735331888,1227.73427676019
-0.00000933067306987567,1227.62581709961
-0.434432061325793,1227.56238128037
-0.758308391486507,1227.5154113646
-0.987010277225693,1227.37033482716
-1.29988678842345,1227.17230163932
-1.74660289156956,1224.45782499378
