"longitude","latitude","web_x","web_y","ozone","popdens"
-84.746028,33.403835,-9434703.80155941,3948402.00734985,91,35
-84.059446,34.376201,-9358290.2133028,4078792.4823357,78,27
-84.290325,33.688007,-9383982.49834718,3986357.15645747,96,1218
-84.779263,33.743514,-9438406.37850397,3993780.87872084,86,68
-84.418842,33.455898,-9398285.43776857,3955348.35416483,92,807
-84.357449,33.720428,-9391454.33828156,3990694.4369782,98,1698
-81.496046,31.16953,-9072928.66209732,3654214.31590091,62,33
-84.069193,33.963074,-9359371.08569403,4023214.19168345,91,253
-84.161797,33.433426,-9369673.70061493,3952352.74996203,102,43
-84.626499,34.785078,-9421412.54484534,4134064.76748981,82,28
-84.944695,32.521099,-9456809.19555638,3831292.73403553,83,41
-84.844596,32.539364,-9445667.40435771,3833704.84367234,74,24
-85.04548,33.92855,-9468040.54927297,4018574.03465859,84,42
-82.022414,33.433883,-9131539.61536147,3952430.97745226,80,37
-84.065386,33.590932,-9358943.74397568,3973380.42421623,98,79
-84.079444,31.953056,-9360493.51149714,3756548.58410516,76,14
-91.33586832,39.91540937,-10168274.7039131,4852863.65352202,75,19
-88.22953098,40.1237962,-9822519.98260115,4883179.86972626,71,21
-87.668416,39.210883,-9760052.42838773,4751177.10769175,74,8
-87.7324569,41.6709919,-9767212.17144835,5111030.30756284,85,439
-87.54534967,41.75583241,-9746386.93036566,5123682.52467416,82,5920
-87.63555553,41.87898018,-9756429.19252175,5142073.5523804,84,5920
-87.60164649,41.79078688,-9752653.65696986,5128898.75656374,79,5920
-87.60768329,41.89581227,-9753327.04164386,5144590.44170611,75,8514
-87.71348815,41.75139998,-9765101.90858702,5123019.47572835,80,5920
-87.7920017,41.98433233,-9773844.23690136,5157834.28228162,79,1609
-87.99056969,41.66812034,-9795941.95618951,5110599.79124262,85,1341
-87.7524697,41.85524313,-9769442.26108732,5138524.49626367,68,439
-87.86322543,42.06028469,-9781773.00116928,5169213.3995608,78,1609
-87.79922692,42.13999619,-9774650.61559794,5181171.79414787,76,462
-87.67416716,42.06185724,-9760729.47710995,5169451.11909933,80,8514
-88.0728269,41.81304939,-9805099.74654193,5132217.98388775,72,1341
-88.54893401,39.06715932,-9858059.08991498,4730543.65785385,78,13
-88.6249434,38.08215516,-9866508.17047531,4590302.3061302,76,50
-90.32407986,39.11053947,-10055646.2946818,4736748.32173264,75,33
-88.27302929,42.04914776,-9827386.93332492,5167539.68123696,75,678
-87.84140622,42.3867056,-9779348.93003761,5218276.59188591,81,662
-87.81004705,42.4675733,-9775859.57407594,5230471.17382436,80,662
-88.99689571,40.51873537,-9907938.23668055,4940829.18146278,75,65
-88.92559445,39.86683389,-9899993.79617117,4845839.33135199,77,32
-89.80973892,39.39607533,-9998399.81524577,4777795.76406456,75,7
-90.14803114,38.89018605,-10036048.2895827,4705190.0045996,81,106
-89.95996251,38.72657262,-10015113.0322254,4681821.59982686,87,19
-90.10585111,38.86066947,-10031353.0126579,4700970.34586288,86,106
-89.60694277,40.68742038,-9975842.91342814,4965552.81094859,74,126
-89.58586902,40.74550393,-9973497.99173738,4974082.63592187,81,126
-89.78845862,38.17627761,-9996017.2169809,4603610.19506829,79,13
-90.51735026,41.51472697,-10077188.01683,5087745.88806228,71,1190
-90.16047663,38.61203448,-10037430.4047743,4665491.33540745,77,486
-89.60483919,39.84412188,-9975598.3588576,4842539.87443216,72,25
-88.19096718,41.22153707,-9818241.66471826,5044285.16763165,71,53
-89.07700532,42.28718959,-9916878.31825589,5203279.0480407,71,337
-89.0377748,42.33498222,-9912512.35415046,5210472.90345481,73,337
-85.017222,41.221667,-9464979.49141498,5044336.89212721,77,49
-85.101944,41.094722,-9474407.99168956,5025568.73882397,80,1385
-86.395172,39.997484,-9618340.14034708,4864828.3024001,83,25
-86.553056,40.540556,-9635920.87877175,4944048.6629507,78,12
-85.6355166,38.429733,-9533764.98604387,4639597.46859847,90,42
-85.245556,40.3,-9490382.52156249,4908891.55712836,79,19
-85.83055,41.71805,-9555516.25670698,5118064.69579899,82,42
-85.834167,38.308056,-9555874.99707601,4622321.48518479,82,341
-86.99012,38.985578,-9684550.05554399,4718869.44735444,84,113
-86.008061,40.065194,-9575252.46254828,4874674.89855279,84,59
-85.840513,39.935008,-9556601.35037622,4855760.49827242,81,52
-86.397148,39.758967,-9618557.0641393,4830233.36493943,79,65
-85.38,40.960556,-9505356.0414992,5005770.43624187,78,18
-86.080523,38.920798,-9583303.7863854,4709606.11461525,78,13
-86.152395,39.417203,-9591309.81566312,4780873.79106495,80,39
-87.304722,41.606667,-9719601.25916557,5101454.52450791,85,633
-87.494722,41.681384,-9740750.68075115,5112581.38333131,88,5920
-87.493611,41.639444,-9740626.44576556,5106333.00439269,77,633
-86.9075,41.716944,-9675389.00464242,5117888.51598106,73,48
-86.684722,41.629167,-9650590.92480289,5104810.86382417,78,62
-85.656944,40.0025,-9536169.49725494,4865564.42441224,78,21
-86.248784,39.646254,-9602041.54705248,4813928.41943599,80,543
-86.021341,39.858961,-9576727.99732486,4844725.71308868,83,440
-86.186314,39.749019,-9595089.42701784,4828795.15648354,76,543
-86.060833,39.789167,-9581122.88955969,4834610.2737814,78,233
-86.477914,39.575596,-9627544.66778352,4803717.52909018,84,26
-86.603611,38.113101,-9641518.20028631,4594697.49981068,80,7
-87.199167,41.6175,-9707852.35243491,5103068.34599483,84,499
-87.038611,41.510278,-9689979.80704282,5087119.49686694,80,48
-87.718333,38.005278,-9765594.49833126,4579445.11086652,81,17
-86.370556,41.551667,-9615620.78688717,5093280.36221693,75,32
-86.214683,41.696692,-9598272.93352653,5114876.32861744,67,241
-86.110556,41.742583,-9586683.43672833,5121720.76534007,82,139
-85.873582,39.611293,-9560278.09134837,4808879.60828724,82,22
-87.569444,38.021667,-9749022.15731931,4581761.81359231,85,30
-87.536944,38.113889,-9745405.69955077,4594800.46766288,88,30
-87.401389,39.486111,-9730333.59774553,4790794.80648965,77,1511
-87.313056,39.560556,-9720502.36348141,4801537.85920693,73,1511
-87.278333,38.051944,-9716619.52309904,4586043.20414843,83,8
-87.341389,38.194444,-9723639.79369696,4606204.60131989,80,8
-87.321933,37.95445,-9721471.44199874,4572271.23239216,76,22
-83.736944,36.608056,-9322416.2325218,4383947.04319651,71,37
-83.5264,36.6719,-9298981.46693223,4392805.23032285,85,15
-84.852778,38.918056,-9446645.47323703,4709225.60477046,78,16
-82.640556,38.459167,-9200399.91761768,4643809.20079723,72,54
-85.713056,37.985556,-9542390.54896604,4576677.85172725,78,21
-84.474453,39.021806,-9404535.94467317,4724082.55444579,86,273
-82.988333,38.238333,-9239107.97262377,4612463.15123001,72,21
-87.323611,36.911667,-9721646.66851019,4426097.09262804,89,9
-87.075556,37.780833,-9694045.72586852,4547794.2373849,86,22
-86.148056,37.131389,-9590800.02464803,4456738.94809559,82,19
-84.468333,38.125833,-9403843.83837693,4596518.70256559,77,109
-84.5,38.065,-9407367.93003166,4587914.51371129,77,109
-82.731667,38.548333,-9210542.51103997,4656490.7001439,79,28
-86.896944,37.938889,-9674166.55480327,4570078.69473173,81,24
-85.851667,37.706389,-9557815.90227158,4537326.67092963,83,41
-87.463333,37.871389,-9737209.45409665,4560551.53877355,83,22
-85.578333,38.137222,-9527396.51339949,4598119.89425172,86,110
-85.896111,38.060833,-9562766.98512135,4587312.39740977,85,326
-85.711667,38.263611,-9542239.1970481,4616020.13288544,79,341
-84.589167,37.893333,-9417290.97173179,4563672.51822129,80,48
-84.525,39.0725,-9410162.89126981,4731347.55363959,85,273
-85.7347,37.5314,-9544794.48864776,4512737.76607079,72,13
-88.393056,37.155556,-9840687.11325875,4460093.77886001,78,11
-88.5725,37.058056,-9860659.59625628,4446484.50999817,79,82
-85.443333,38.398611,-9512372.96340313,4635178.21028102,84,68
-83.220278,37.283056,-9264914.2320291,4477961.53610773,76,19
-82.535278,37.482778,-9188669.71431862,4505945.12031317,79,41
-84.611667,37.0975,-9419786.26011347,4452022.49106066,76,31
-86.566389,36.708611,-9637359.38876894,4397873.96676882,81,11
-87.851944,36.783889,-9780453.05506756,4408319.56835354,86,6
-86.250556,37.036667,-9602208.09350662,4443521.93585322,77,19
-70.02333122,41.97557064,-7796017.44921167,5156725.8423929,82,39
-73.1678,42.6367,-8146045.39287772,5256194.27401002,80,67
-70.87916174,41.63327785,-7891276.3899931,5105602.22377012,75,153
-70.78536124,41.33048033,-7880830.39080198,5060613.74372774,77,17
-70.9713576,42.47467114,-7901552.78176587,5231737.53743457,88,2282
-70.80834951,42.79026804,-7883413.36077569,5279488.28336975,86,76
-71.10225932,42.77076958,-7916128.74618777,5276527.48666816,89,1670
-72.5551117,42.19438047,-8077838.79569357,5189512.55607251,98,538
-72.52310905,42.4005787,-8074279.92865534,5220543.32195726,80,60
-72.33390364,42.29827869,-8053217.46312371,5205138.01808576,87,124
-71.362068,42.62668,-7945046.12694972,5254700.80861607,87,195
-71.48277484,42.41357399,-7958478.66051206,5222515.25533511,86,303
-71.1138645,42.21167389,-7917411.13251318,5192128.86135589,88,618
-71.0825,42.3294,-7913921.84302982,5209838.10650012,71,618
-71.87528882,42.27417686,-8002167.82673289,5201517.28054707,89,664
-76.653056,38.9025,-8533937.0605367,4707083.34584844,89,78
-76.631111,39.460833,-8531501.95284652,4787259.38351897,72,279
-76.474444,39.310833,-8514061.15916005,4765658.58783006,83,247
-76.617194,38.536722,-8529940.36039595,4654900.09432863,79,79
-77.041667,39.444167,-8577200.99761573,4784852.50590635,89,77
-75.86,39.701111,-8445672.27973971,4821969.03181837,92,73
-76.811944,38.504167,-8551617.71893317,4650266.51725018,83,34
-77.375833,39.408056,-8614396.71718387,4779645.36345164,86,327
-79.012,39.70595,-8796523.0120511,4822635.19387441,76,17
-76.296667,39.41,-8494274.01819699,4779936.98566247,90,243
-76.203889,39.563333,-8483948.94745281,4802052.47516513,92,243
-75.797333,39.305,-8438691.22977847,4764826.74904745,83,34
-77.106944,39.114444,-8584462.52616616,4737438.48660124,88,1689
-76.878333,39.055277,-8559014.87665436,4728956.36607555,84,812
-76.74417,38.81194,-8544077.82031492,4694137.75566458,88,78
-77.721944,39.565556,-8652924.66089498,4802357.11245488,81,54
-75.1594,38.2511,-8367667.93664586,4614351.27996959,75,619
-76.5525,39.32889,-8522749.88363673,4768255.80238082,73,2686
-70.125,43.9767,-7807369.23153536,5461216.8989518,81,55
-68.033006,46.696431,-7574558.15402342,5892039.59046077,57,34
-70.207778,43.560833,-7816575.91338817,5397113.46685369,83,367
-68.227222,44.351667,-7596129.73844123,5519426.45818747,86,51
-68.2609,44.37705,-7599879.01080411,5523378.13654129,83,51
-68.805556,44.422778,-7660507.01161196,5530494.91078733,75,25
-69.785556,44.230278,-7769589.62274312,5500528.80988326,79,125
-69.261944,43.9175,-7711299.33214757,5452075.8950051,82,24
-70.855556,44.222222,-7888693.45785073,5499263.15847597,74,2
-68.6785,44.73487,-7646370.01751585,5579268.39835892,75,23
-69.731669,43.795296,-7763583.34400716,5433205.37839549,79,29
-67.594167,44.533611,-7525665.99549682,5547801.8011735,76,10
-67.060728,44.963633,-7466295.58598577,5615207.91951928,56,13
-70.62,43.659167,-7862463.00394243,5412225.26113298,81,32
-70.471389,43.343056,-7845915.16875873,5363718.10412292,78,83
-70.75,43.083333,-7876923.4098675,5324047.2140734,77,128
-86.14857722,42.76778555,-9590930.18125609,5275897.22497379,94,34
-86.10940778,44.61694309,-9586598.8764843,5560586.69582487,82,11
-86.30969398,42.19778954,-9608855.43740346,5189866.62883023,86,112
-86.00162873,41.8955698,-9574561.13837418,5144570.97875467,83,29
-84.39379526,42.79833938,-9395609.81031631,5280550.2507162,81,300
-83.67015909,43.04722419,-9315067.05261407,5318389.30117673,82,205
-83.46154069,43.16833627,-9291847.9918624,5336856.44982434,84,52
-82.64289991,43.83638793,-9200737.12316687,5439382.18871412,84,20
-84.53463315,42.73861787,-9411285.29360377,5271493.58562004,80,226
-85.54188992,42.27806667,-9523394.11213719,5201943.74519169,81,437
-85.67133874,42.98417304,-9537813.14584866,5308768.59666242,84,281
-85.41660783,43.17667181,-9509462.55597028,5338106.59637455,85,43
-85.62914649,45.02889793,-9533149.11657587,5625239.02368917,79,3
-83.94655938,41.9955677,-9345816.94256465,5159557.65505271,81,111
-82.79346283,42.73139412,-9217478.62808326,5270418.40460728,93,295
-83.00597056,42.51333985,-9241129.22106225,5237431.67551649,91,2160
-86.24264864,44.30700008,-9601424.56400605,5512248.66002515,83,19
-86.29441463,43.95333441,-9607180.92010672,5457403.60737885,83,8
-84.89186532,44.31055542,-9451072.4944175,5512817.28991218,76,6
-86.31108253,43.2780606,-9609025.82541856,5353584.63257426,86,52
-83.18319868,42.46306341,-9260855.44601903,5229840.89230553,86,1365
-85.85273402,42.89445066,-9558002.47725305,5295125.06933611,88,733
-82.45622878,42.95333627,-9179945.03580567,5304114.00445278,89,46
-85.95022692,46.28887716,-9568909.25868253,5825901.35035512,85,1
-83.59960223,42.24056548,-9307201.32626234,5196325.0415038,77,230
-83.20820002,42.22862014,-9263634.80502139,5194533.58148978,79,1009
-83.00013754,42.43084042,-9240478.71406828,5224982.35461799,92,2160
-91.39037513,31.5605847,-10174260.9666968,3705120.12179198,71,6
-90.723028,33.746056,-10099998.0702357,3994075.41581829,77,8
-89.98783,34.82166,-10018174.5384878,4138980.46115749,84,65
-89.04977762,30.39036918,-9913724.07214753,3553213.98866413,81,61
-90.1410062,32.38575797,-10035202.8021799,3813402.16876416,71,776
-88.53398462,30.37842472,-9856311.7496378,3551676.25280969,78,1022
-88.73149134,32.36456528,-9878311.94093835,3810619.20125073,72,35
-88.766222,34.264917,-9882194.58316973,4063756.96162451,73,191
-89.0622,33.6636,-9915133.87840021,3983055.51221549,70,10
-81.189758,35.928999,-9038882.61594762,4290221.54942013,81,82
-81.933056,35.972222,-9121619.4513795,4296157.91488074,69,18
-82.59986031,35.500102,-9195836.08359534,4231411.49813276,73,466
-81.530278,35.935833,-9076785.92655105,4291157.91727353,77,128
-79.467417,36.307033,-8847172.89942053,4342327.20888808,82,18
-79.159722,35.757222,-8812916.99844964,4266653.04571068,75,31
-78.728035,35.158686,-8764859.03826621,4184865.25753399,80,32
-78.9625,34.968889,-8790955.42309437,4159052.8761199,82,90
-80.559115,35.809289,-8968684.41516412,4273784.29795043,85,52
-78.89639,35.99194,-8783608.03430885,4298897.95252812,80,495
-77.582778,35.988333,-8637388.91277431,4298414.02849836,80,11
-80.226667,36.110556,-8931682.96014767,4315216.00868605,82,432
-80.215833,36.203056,-8930478.07342355,4327968.06947682,76,134
-80.342,36.026,-8944519.73964866,4303571.27465482,78,432
-80.143889,36.050833,-8922468.25350314,4306991.39212514,83,124
-78.463719,36.096189,-8735448.36714292,4313253.10460892,80,43
-83.79562,35.25793,-9328932.88115792,4198340.60424499,81,10
-78.768056,36.141111,-8769324.81369706,4319440.17220419,83,26
-79.801111,36.109167,-8884314.21826404,4315028.5631585,86,1037
-82.964722,35.505278,-9236448.7257857,4232116.0009567,74,7
-82.7925,35.379167,-9217277.43864202,4214887.74315534,77,21
-83.0775,35.59,-9249002.88789081,4243705.24452407,78,7
-78.461944,35.590833,-8735245.05517176,4243860.70143688,78,56
-77.568792,35.231459,-8635823.55372516,4194788.08694555,77,18
-81.27675,35.438556,-9048560.32251658,4223011.68076932,85,90
-76.89782,35.81069,-8561143.51160833,4274010.43582596,75,11
-80.785683,35.2401,-8993897.50403415,4195936.66459719,93,1004
-80.91953167,35.11316368,-9008794.85123515,4178649.7234634,87,87
-80.695,35.347222,-8983804.72564244,4210546.04409964,96,102
-77.838611,34.364167,-8665847.95480619,4077222.94161242,71,13
-79.09197,36.306965,-8805381.74890727,4342321.33167261,79,14
-77.598889,35.583333,-8639177.62089189,4242842.12912293,79,85
-79.859167,36.308889,-8890778.72238282,4342579.91691077,82,32
-80.395039,35.551868,-8950418.25475465,4238510.95598303,96,34
-80.66756,35.534482,-8980752.41307384,4236130.16720578,95,134
-83.443697,35.435509,-9289762.42331029,4222576.40213162,66,7
-80.540833,34.973889,-8966640.36584413,4159718.04752143,82,136
-78.574167,35.856111,-8747739.66258542,4280230.88687207,84,101
-78.7925,35.596944,-8772039.52470615,4244694.16144391,80,112
-82.266139,35.772833,-9158692.63058516,4268766.42087296,79,15
-71.495833,43.565278,-7959952.0240745,5397779.53215773,75,99
-72.277778,42.930556,-8046980.64075009,5300772.895188,73,81
-71.3025,44.278333,-7938444.66879272,5507976.67091375,85,3
-71.225,44.290556,-7929818.22859306,5509878.21563462,63,9
-71.391944,45.051111,-7948415.36342832,5628920.41842769,66,2
-72.226083,43.62957,-8041238.53728801,5407651.78596435,72,76
-71.468056,43.000556,-7956850.24145201,5311430.98124533,74,158
-71.523083,42.720377,-7962970.60985299,5268884.10725953,81,140
-71.878613,42.861901,-8002547.72417395,5290346.41501997,81,25
-71.45827,43.218491,-7955764.71984331,5344659.62498885,74,95
-70.748056,43.075278,-7876706.87901168,5322819.69953578,78,128
-70.713839,43.047475,-7872897.6283807,5318584.34570792,86,128
-72.338333,43.364444,-8053728.60337478,5366968.21896512,76,111
-74.46069,39.53024,-8289911.03161946,4797294.50595837,72,52
-74.448902,39.464967,-8288597.97213962,4787879.10099759,78,52
-75.09762,39.92304,-8360814.11088695,4854136.27084879,92,2552
-74.86149,39.68425,-8334526.79073294,4819540.95194625,91,89
-75.21212,39.80034,-8373557.48469502,4836342.18832905,89,79
-74.12608,40.67025,-8252681.7301352,4963197.02611461,92,3404
-74.80666,40.51527,-8328435.64099769,4940471.58205981,88,56
-74.74264,40.28308,-8321306.08077469,4906534.87651162,94,1178
-74.42944,40.46218,-8286446.03257146,4932705.76937203,90,968
-74.00534,40.27846,-8239236.16923659,4905869.11242549,88,168
-74.6763,40.78763,-8313929.177643,4980431.98020506,88,413
-74.44403,40.06482,-8288064.23933396,4874742.94836727,86,66
-74.25634,41.0522,-8267186.92399959,5019410.08632173,85,152
-73.75689,42.68069,-8211618.50879844,5262845.26134634,88,541
-73.90207,40.81616,-8227749.06581288,4984636.09304463,80,23516
-73.878203,40.867989,-8225093.18211393,4992262.21471846,80,23516
-79.31888,42.49945,-8830722.71307505,5235376.66826449,92,42
-79.58658,42.29073,-8860517.01254889,5203915.48934185,84,30
-76.80249,42.11105,-8550617.38488759,5176950.07803741,75,29
-73.74262,41.78179,-8210015.45762405,5127710.74667715,82,30
-78.77142,42.99292,-8769793.04255032,5310178.85147528,88,879
-73.90313,44.36608,-8227925.95773954,5521594.62436584,102,19
-73.85892,44.39309,-8223005.39175106,5525801.68557675,91,19
-74.695005,44.980577,-8316081.46713574,5617769.76112737,73,37
-74.51625,43.44957,-8296156.69053604,5379983.21294947,81,0
-74.98538,43.68578,-8348380.00248449,5416264.63395096,81,2
-75.97321,44.08749,-8458342.87509617,5478293.67237584,85,28
-75.78443,42.73046,-8437306.62528624,5270359.21083974,80,9
-77.54813,43.146198,-8633631.39569859,5333548.13746329,83,2314
-73.95083,40.81833,-8233176.64261316,4984954.6929752,85,23516
-78.47851,43.22394,-8737193.10338461,5345404.61612629,88,31
-75.71916,43.29996,-8430050.87996475,5357057.89993956,75,35
-76.0592,43.05238,-8467896.73821363,5319264.50764634,85,62
-74.21529,41.52398,-8262624.89212919,5089298.60924529,96,78
-76.46326,43.28431,-8512876.68236967,5354655.43473575,81,64
-73.70762,41.44151,-8206114.18937036,5077051.20265104,89,74
-73.82317,40.7362,-8218965.38583555,4972883.78452567,82,13088
-73.46361,42.78187,-8178974.83523384,5278181.26388911,79,40
-74.12619,40.59733,-8252692.88254257,4952501.50541816,92,3404
-73.6489,43.01209,-8199603.58195115,5313159.13899044,87,393
-73.94019,42.79963,-8232023.83456589,5280869.21445583,76,158
-77.21025,42.09071,-8596004.94825038,5173893.90693323,76,21
-73.41919,40.74529,-8173997.90149378,4974223.86263826,92,1305
-72.71274,40.96119,-8095365.07348465,5006003.94038297,86,53
-73.05694,40.8275,-8133676.51729302,4986313.88489438,95,1010
-74.49414,42.1438,-8293673.84733747,5181892.75722243,76,12
-77.17376,43.23087,-8591961.6681501,5346479.08539018,80,45
-73.76398,41.052,-8212381.66594033,5019386.29216413,101,195
-84.051944,40.772222,-9357529.8992788,4978064.31331394,80,23
-80.5725,41.959444,-8970254.07527623,5154186.44119721,95,373
-84.544167,39.383333,-9412300.24484795,4776010.75464418,96,63
-84.3925,39.53,-9395420.27643165,4797155.7751405,97,314
-83.804444,40.000833,-9329970.69546811,4865340.82080339,86,139
-83.9975,39.855556,-9351457.58902518,4844252.16214991,84,55
-84.144193,39.082319,-9367775.90627988,4732759.14416233,92,128
-83.788611,39.43,-9328200.93502787,4782740.9340881,89,14
-81.575,41.555,-9081835.47383053,5093827.46565724,84,682
-81.864722,41.361667,-9114081.33056396,5065110.23226377,95,125
-81.459167,41.536667,-9068941.94661138,5091102.22238866,84,682
